no;year;CADFtest;employmt;gnpdefl;nomgnp;interest;indprod;gnpperca;realgnp;wages;realwag;sp500;unemploy;velocity;M
1;1860;3.2958369;NA;NA;NA;NA;-0.10536052;NA;NA;NA;NA;NA;NA;NA;NA
2;1861;3.2958369;NA;NA;NA;NA;-0.10536052;NA;NA;NA;NA;NA;NA;NA;NA
3;1862;3.4011974;NA;NA;NA;NA;-0.10536052;NA;NA;NA;NA;NA;NA;NA;NA
4;1863;3.6109179;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
5;1864;3.871201;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
6;1865;3.8501476;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
7;1866;3.7841896;NA;NA;NA;NA;0.18232156;NA;NA;NA;NA;NA;NA;NA;NA
8;1867;3.7612001;NA;NA;NA;NA;0.26236426;NA;NA;NA;NA;NA;NA;NA;NA
9;1868;3.7135721;NA;NA;NA;NA;0.26236426;NA;NA;NA;NA;NA;NA;NA;NA
10;1869;3.6888795;NA;NA;NA;NA;0.33647224;NA;NA;NA;NA;NA;NA;1.7245507;NA
11;1870;3.6375862;NA;NA;NA;NA;0.40546511;NA;NA;NA;NA;NA;NA;1.6409366;NA
12;1871;3.6109179;NA;NA;NA;NA;0.40546511;NA;NA;NA;NA;1.5454326;NA;1.5325569;NA
13;1872;3.6109179;NA;NA;NA;NA;0.58778666;NA;NA;NA;NA;1.61542;NA;1.6193882;NA
14;1873;3.6109179;NA;NA;NA;NA;0.58778666;NA;NA;NA;NA;1.5686159;NA;1.5993876;NA
15;1874;3.5553481;NA;NA;NA;NA;0.53062825;NA;NA;NA;NA;1.5195132;NA;1.5496879;NA
16;1875;3.4965076;NA;NA;NA;NA;0.53062825;NA;NA;NA;NA;1.4929041;NA;1.4951488;NA
17;1876;3.4657359;NA;NA;NA;NA;0.53062825;NA;NA;NA;NA;1.401183;NA;1.5368672;NA
18;1877;3.4657359;NA;NA;NA;NA;0.58778666;NA;NA;NA;NA;1.1442228;NA;1.5871923;NA
19;1878;3.4011974;NA;NA;NA;NA;0.64185389;NA;NA;NA;NA;1.2178757;NA;1.6213665;NA
20;1879;3.3672958;NA;NA;NA;NA;0.78845736;NA;NA;NA;NA;1.4158532;NA;1.6292405;NA
21;1880;3.4011974;NA;NA;NA;NA;0.91629073;NA;NA;NA;NA;1.6505799;NA;1.6695918;NA
22;1881;3.4011974;NA;NA;NA;NA;1.0296194;NA;NA;NA;NA;1.8325815;NA;1.4838747;NA
23;1882;3.4011974;NA;NA;NA;NA;1.0986123;NA;NA;NA;NA;1.7749524;NA;1.4838747;NA
24;1883;3.3672958;NA;NA;NA;NA;1.0986123;NA;NA;NA;NA;1.7281094;NA;1.3887912;NA
25;1884;3.3322045;NA;NA;NA;NA;1.0647107;NA;NA;NA;NA;1.5539252;NA;1.3584092;NA
26;1885;3.3322045;NA;NA;NA;NA;1.0647107;NA;NA;NA;NA;1.5260563;NA;1.2612979;NA
27;1886;3.3322045;NA;NA;NA;NA;1.252763;NA;NA;NA;NA;1.678964;NA;1.2178757;NA
28;1887;3.3322045;NA;NA;NA;NA;1.3083328;NA;NA;NA;NA;1.7101878;NA;1.1908876;NA
29;1888;3.3322045;NA;NA;NA;NA;1.3350011;NA;NA;NA;NA;1.6486586;NA;1.1474025;NA
30;1889;3.3322045;NA;3.254243;NA;NA;1.410987;NA;NA;NA;NA;1.6714733;NA;1.1249296;1.2809338
31;1890;3.3322045;10.024687;3.2347492;NA;NA;1.4816045;NA;NA;NA;NA;1.6620304;1.3862944;1.0986123;1.3660917
32;1891;3.3322045;10.034165;3.2148678;NA;NA;1.5040774;NA;NA;NA;NA;1.61542;1.686399;1.0851893;1.406097
33;1892;3.3322045;10.082972;3.1780538;NA;NA;1.5686159;NA;NA;NA;NA;1.7137979;1.0986123;1.0508216;1.4883996
34;1893;3.3322045;10.013283;3.1986731;NA;NA;1.458615;NA;NA;NA;NA;1.5644405;2.4595888;1.0750024;1.4492692
35;1894;3.2580965;9.9571231;3.1354942;NA;NA;1.4350845;NA;NA;NA;NA;1.4793292;2.9123507;0.9439059;1.453953
36;1895;3.2188758;10.035568;3.1223649;NA;NA;1.5892352;NA;NA;NA;NA;1.5107219;2.6173958;1.0043016;1.4883996
37;1896;3.2188758;10.048843;3.0955776;NA;NA;1.5260563;NA;NA;NA;NA;1.442202;2.6672282;0.96698385;1.4701758
38;1897;3.2188758;10.069171;3.1000923;NA;NA;1.5892352;NA;NA;NA;NA;1.4929041;2.6741486;1.0006319;1.5347144
39;1898;3.2188758;10.116419;3.1311369;NA;NA;1.7227666;NA;NA;NA;NA;1.6193882;2.5176965;0.92028275;1.660131
40;1899;3.2188758;10.20029;3.1612467;NA;NA;1.8082888;NA;NA;NA;NA;1.8389611;1.8718022;0.91228271;1.8066481
41;1900;3.2188758;10.236704;3.2068032;NA;3.3;1.8405496;NA;NA;6.1882641;2.9693883;1.8164521;1.6094379;0.91228271;1.8870696
42;1901;3.2188758;10.272358;3.1986731;NA;3.25;1.9600948;NA;NA;6.2363696;3.0174938;2.0592388;1.3862944;0.89199804;2.0122328
43;1902;3.2580965;10.302264;3.2347492;NA;3.3;2.0668628;NA;NA;6.2859981;3.0277153;2.1306098;1.3083328;0.83724752;2.1004689
44;1903;3.2958369;10.325679;3.246491;NA;3.45;2.0918641;NA;NA;6.3062753;3.0106209;1.975469;1.3609766;0.82855182;2.1610215
